,name,cluster
0,Aaron Gordon,21
1,Aaron Holiday,1
2,Al Horford,6
3,Al-Farouq Aminu,5
4,Alec Burks,18
5,Alex Abrines,1
6,Alex Caruso,5
7,Alex Len,6
8,Allen Crabbe,23
9,Allonzo Trier,5
10,Andre Drummond,11
11,Andrew Wiggins,21
12,Ante Zizic,19
13,Anthony Davis,11
14,Antonio Blakeney,18
15,Austin Rivers,0
16,Avery Bradley,23
17,Bam Adebayo,7
18,Ben Simmons,19
19,Billy Garrett,18
20,Blake Griffin,16
21,Boban Marjanovic,19
22,Bobby Portis,6
23,Bogdan Bogdanovic,4
24,Bojan Bogdanovic,21
25,Bonzie Colson,13
26,Bradley Beal,16
27,Brandon Ingram,11
28,Brandon Knight,0
29,Brook Lopez,23
30,Bruno Caboclo,0
31,Bryn Forbes,23
32,Buddy Hield,4
33,CJ McCollum,16
34,CJ Miles,0
35,Cameron Payne,0
36,Caris LeVert,21
37,Carmelo Anthony,14
38,Cedi Osman,2
39,Chandler Parsons,8
40,Chris Paul,4
41,Christian Wood,22
42,Clint Capela,24
43,Cody Zeller,22
44,Collin Sexton,21
45,Cory Joseph,5
46,D'Angelo Russell,16
47,D.J. Augustin,8
48,D.J. Wilson,10
49,Damian Lillard,16
50,Damyean Dotson,23
51,Danilo Gallinari,4
52,Danny Green,0
53,Dante Exum,12
54,Danuel House Jr.,0
55,Dario Saric,5
56,Darius Miller,1
57,Darren Collison,8
58,David Nwaba,12
59,Davis Bertans,0
60,De'Aaron Fox,21
61,De'Anthony Melton,5
62,DeAndre Jordan,19
63,DeAndre' Bembry,9
64,DeMar DeRozan,11
65,DeMarcus Cousins,6
66,DeMarre Carroll,8
67,Deandre Ayton,7
68,Dejounte Murray,13
69,Delon Wright,5
70,Dennis Schroder,21
71,Dennis Smith Jr.,2
72,Derrick Favors,7
73,Derrick Jones Jr.,9
74,Derrick Rose,21
75,Derrick White,5
76,Devin Booker,16
77,Devin Harris,8
78,Devonte' Graham,1
79,Dewayne Dedmon,10
80,Dillon Brooks,5
81,Dion Waiters,4
82,Dirk Nowitzki,10
83,Domantas Sabonis,7
84,Donovan Mitchell,16
85,Dorian Finney-Smith,5
86,Doug McDermott,8
87,Draymond Green,5
88,Dusty Hannahs,1
89,Dwayne Bacon,18
90,Dwight Howard,7
91,Dwight Powell,9
92,Dwyane Wade,21
93,E'Twaun Moore,2
94,Elfrid Payton,6
95,Elie Okobo,8
96,Emmanuel Mudiay,21
97,Enes Kanter,7
98,Eric Bledsoe,2
99,Eric Gordon,4
100,Ersan Ilyasova,5
101,Evan Fournier,4
102,Evan Turner,12
103,Frank Jackson,18
104,Frank Kaminsky,10
105,Frank Ntilikina,8
106,Fred VanVleet,8
107,Furkan Korkmaz,1
108,Garrett Temple,1
109,Gary Harris,2
110,Gary Payton II,3
111,George Hill,5
112,Gerald Green,0
113,Giannis Antetokounmpo,11
114,Goran Dragic,21
115,Gordon Hayward,2
116,Gorgui Dieng,12
117,Grayson Allen,1
118,Harrison Barnes,21
119,Harry Giles III,7
120,Hassan Whiteside,19
121,Henry Ellenson,5
122,Ian Clark,8
123,Iman Shumpert,0
124,Isaiah Canaan,1
125,Isaiah Thomas,8
126,Ish Smith,5
127,Ivica Zubac,19
128,J.J. Barea,21
129,JJ Redick,4
130,JR Smith,1
131,JaKarr Sampson,6
132,JaMychal Green,5
133,JaVale McGee,7
134,Jabari Parker,21
135,Jae Crowder,0
136,Jahlil Okafor,19
137,Jake Layman,5
138,Jalen Brunson,5
139,Jamal Crawford,23
140,Jamal Murray,16
141,James Ennis III,18
142,James Harden,20
143,James Johnson,5
144,Jaren Jackson Jr.,6
145,Jarrett Allen,22
146,Jaylen Brown,6
147,Jayson Tatum,21
148,Jeff Green,2
149,Jeff Teague,21
150,Jemerrio Jones,18
151,Jerami Grant,6
152,Jeremy Lamb,21
153,Jeremy Lin,5
154,Jerryd Bayless,1
155,Jevon Carter,1
156,Jimmy Butler,21
157,Joakim Noah,22
158,Joe Harris,8
159,Joe Ingles,4
160,Joel Embiid,11
161,John Collins,6
162,John Wall,16
163,Johnathan Williams,3
164,Jonas Jerebko,0
165,Jonas Valanciunas,7
166,Jonathan Isaac,5
167,Jonathon Simmons,5
168,Jordan Clarkson,21
