,name,cluster
0,Aaron Gordon,19
1,Aaron Harrison,10
2,Aaron Jackson,13
3,Al Horford,4
4,Al Jefferson,2
5,Al-Farouq Aminu,1
6,Alec Burks,12
7,Alex Len,2
8,Allen Crabbe,17
9,Andre Drummond,18
10,Andre Iguodala,11
11,Andre Ingram,13
12,Andrew Harrison,10
13,Andrew Wiggins,5
14,Anthony Davis,5
15,Anthony Tolliver,23
16,Antonio Blakeney,10
17,Aron Baynes,21
18,Austin Rivers,17
19,Avery Bradley,19
20,Bam Adebayo,2
21,Ben McLemore,22
22,Ben Simmons,18
23,Blake Griffin,6
24,Bobby Portis,4
25,Bogdan Bogdanovic,14
26,Bojan Bogdanovic,14
27,Bradley Beal,0
28,Brandon Ingram,4
29,Brandon Jennings,22
30,Brook Lopez,4
31,Bryn Forbes,10
32,Buddy Hield,14
33,C.J. Williams,10
34,CJ McCollum,6
35,CJ Miles,23
36,Cameron Payne,22
37,Caris LeVert,14
38,Carmelo Anthony,19
39,Chandler Parsons,13
40,Chinanu Onuaku,24
41,Chris Paul,0
42,Clint Capela,9
43,Cory Joseph,12
44,Courtney Lee,1
45,D'Angelo Russell,19
46,D.J. Augustin,11
47,Damian Lillard,6
48,Damion Lee,0
49,Danilo Gallinari,0
50,Danny Green,23
51,Dante Cunningham,3
52,Dante Exum,23
53,Danuel House Jr.,22
54,Dario Saric,14
55,Darius Miller,13
56,Darren Collison,0
57,David Nwaba,2
58,David West,21
59,Davis Bertans,11
60,De'Aaron Fox,4
61,DeAndre Jordan,9
62,DeAndre' Bembry,3
63,DeMar DeRozan,6
64,DeMarcus Cousins,6
65,DeMarre Carroll,17
66,Dejounte Murray,21
67,Delon Wright,23
68,Dennis Schroder,0
69,Dennis Smith Jr.,19
70,Denzel Valentine,11
71,Derrick Favors,15
72,Derrick Rose,3
73,Devin Booker,6
74,Devin Harris,22
75,Dewayne Dedmon,4
76,Dillon Brooks,14
77,Dion Waiters,19
78,Dirk Nowitzki,7
79,Domantas Sabonis,15
80,Donovan Mitchell,6
81,Dorian Finney-Smith,23
82,Doug McDermott,1
83,Dragan Bender,1
84,Draymond Green,23
85,Dwight Buycks,22
86,Dwight Howard,18
87,Dwight Powell,3
88,Dwyane Wade,4
89,Dzanan Musa,8
90,E'Twaun Moore,14
91,Elfrid Payton,4
92,Emmanuel Mudiay,3
93,Enes Kanter,2
94,Eric Bledsoe,19
95,Eric Gordon,17
96,Ersan Ilyasova,1
97,Evan Fournier,19
98,Evan Turner,4
99,Frank Kaminsky,4
100,Frank Mason,11
101,Frank Ntilikina,3
102,Fred VanVleet,23
103,Garrett Temple,1
104,Gary Harris,14
105,George Hill,1
106,Gerald Green,17
107,Giannis Antetokounmpo,5
108,Goran Dragic,5
109,Greg Monroe,2
110,Harrison Barnes,5
111,Harry Giles III,7
112,Hassan Whiteside,2
113,Ian Clark,3
114,Isaiah Canaan,23
115,Isaiah Taylor,1
116,Isaiah Thomas,19
117,Isaiah Whitehead,3
118,Ish Smith,4
119,J.J. Barea,1
120,JJ Redick,0
121,JR Smith,11
122,JaMychal Green,4
123,Jabari Parker,4
124,Jae Crowder,1
125,Jahlil Okafor,2
126,Jalen Jones,11
127,Jamal Crawford,1
128,Jamal Murray,0
129,Jamel Artis,12
130,James Ennis III,3
131,James Harden,6
132,James Johnson,4
133,Jamil Wilson,22
134,Jarell Martin,3
135,Jarrett Allen,2
136,Jarrett Jack,10
137,Jawun Evans,1
138,Jaylen Brown,14
139,Jaylen Morris,8
140,Jayson Tatum,14
141,Jeff Green,3
142,Jeff Teague,14
143,Jerami Grant,3
144,Jeremy Lamb,14
145,Jeremy Lin,7
146,Jerian Grant,11
147,Jerryd Bayless,22
148,Jimmy Butler,5
149,Jodie Meeks,22
150,Joe Harris,22
151,Joe Ingles,13
152,Joe Johnson,4
153,Joel Embiid,5
154,John Collins,4
155,John Henson,15
156,John Wall,0
157,Johnathan Motley,15
158,Jonas Valanciunas,15
159,Jonathan Gibson,7
160,Jonathan Isaac,3
161,Jonathon Simmons,14
162,Jordan Clarkson,14
163,Jordan Crawford,10
164,Josh Gray,22
165,Josh Hart,10
166,Josh Jackson,14
167,Josh Richardson,14
168,Jrue Holiday,19
169,Julius Randle,18
170,Justin Anderson,1
171,Justin Holiday,14
172,Justin Jackson,3
173,Justin James,0
174,Justise Winslow,4
175,Jusuf Nurkic,18
176,Karl-Anthony Towns,5
177,Kawhi Leonard,14
178,Kelly Olynyk,3
179,Kelly Oubre Jr.,17
180,Kemba Walker,6
181,Kenneth Faried,2
182,Kent Bazemore,0
183,Kentavious Caldwell-Pope,17
184,Kevin Durant,6
185,Kevin Love,5
186,Khris Middleton,5
187,Klay Thompson,6
188,Kobi Simmons,10
189,Kosta Koufos,2
190,Kris Dunn,4
191,Kristaps Porzingis,5
192,Kyle Anderson,15
193,Kyle Korver,13
194,Kyle Kuzma,19
195,Kyle Lowry,17
196,Kyle O'Quinn,21
197,Kyrie Irving,6
198,LaMarcus Aldridge,5
199,Lance Stephenson,1
200,Langston Galloway,13
201,Larry Nance Jr.,15
202,Lauri Markkanen,5
203,LeBron James,6
204,Lonzo Ball,0
205,Lou Williams,6
206,Luc Mbah a Moute,22
207,Luke Kennard,3
208,Luke Kornet,1
209,Malcolm Brogdon,14
210,Malcolm Delaney,22
211,Malik Monk,11
212,Manu Ginobili,23
213,MarShon Brooks,0
214,Marc Gasol,5
215,Marcin Gortat,2
216,Marco Belinelli,11
217,Marcus Morris Sr.,14
218,Marcus Smart,14
219,Mario Chalmers,11
220,Mario Hezonja,1
221,Markelle Fultz,9
222,Markieff Morris,4
223,Marquese Chriss,3
224,Marquis Teague,20
225,Marreese Speights,1
226,Marvin Williams,3
227,Mason Plumlee,2
228,Maurice Harkless,1
229,Michael Beasley,18
230,Michael Kidd-Gilchrist,21
231,Mike Conley,6
232,Mike James,11
233,Mike Muscala,3
234,Mike Scott,4
235,Milos Teodosic,1
236,Mirza Teletovic,7
237,Montrezl Harrell,21
238,Myke Henry,10
239,Myles Turner,4
240,Nemanja Bjelica,1
241,Nick Young,23
242,Nicolas Batum,0
243,Nikola Jokic,5
244,Nikola Mirotic,14
245,Nikola Vucevic,5
246,Norman Powell,23
247,Omari Johnson,7
248,Otto Porter Jr.,14
249,P.J. Tucker,1
250,Pascal Siakam,15
251,Patrick Beverley,17
252,Patty Mills,23
253,Pau Gasol,15
254,Paul George,6
255,Paul Millsap,4
256,Quincy Acy,1
257,Quinn Cook,1
258,RJ Hunter,8
259,Rajon Rondo,1
260,Raymond Felton,22
261,Reggie Bullock,1
262,Reggie Jackson,19
263,Richaun Holmes,15
264,Ricky Rubio,0
265,Robert Covington,17
266,Robin Lopez,4
267,Rodney Hood,14
268,Rodney Purvis,11
269,Rondae Hollis-Jefferson,18
270,Rudy Gay,4
271,Rudy Gobert,2
272,Russell Westbrook,6
273,Ryan Anderson,1
274,Sean Kilpatrick,22
275,Serge Ibaka,4
276,Shabazz Napier,22
277,Shaquille Harrison,16
278,Shelvin Mack,23
279,Skal Labissiere,15
280,Spencer Dinwiddie,17
281,Stanley Johnson,3
282,Stephen Curry,6
283,Steven Adams,2
284,T.J. McConnell,10
285,T.J. Warren,5
286,Taj Gibson,15
287,Taurean Prince,14
288,Terrence Ross,22
289,Terry Rozier,11
290,Thabo Sefolosha,3
291,Thaddeus Young,4
292,Theo Pinson,7
293,Tim Hardaway Jr.,19
294,Timothe Luwawu-Cabarrot,13
295,Tobias Harris,5
296,Tomas Satoransky,3
297,Tony Parker,3
298,Tony Snell,1
299,Trevor Ariza,23
300,Trevor Booker,15
301,Trey Burke,14
302,Trey Lyles,3
303,Troy Daniels,13
304,Troy Williams,1
305,Tyler Dorsey,22
306,Tyler Johnson,14
307,Tyler Ulis,12
308,Tyler Zeller,3
309,Tyreke Evans,6
310,Tyrone Wallace,4
311,Victor Oladipo,6
312,Wayne Ellington,13
313,Wayne Selden,11
314,Wesley Johnson,10
315,Wesley Matthews,14
316,Will Barton,19
317,Willie Cauley-Stein,18
318,Wilson Chandler,3
319,Xavier Rathan-Mayes,11
320,Yogi Ferrell,1
321,Zach LaVine,19
322,Zach Randolph,5
