,game,date,player_name,over,over_odds,under,under_odds
0,Miami Heat @ San Antonio Spurs,2020-01-19,DeMar DeRozan,Over 22.5,-129,Under 22.5,+105
1,Miami Heat @ San Antonio Spurs,2020-01-19,LaMarcus Aldridge,Over 18.5,-110,Under 18.5,-110
2,Miami Heat @ San Antonio Spurs,2020-01-19,Bryn Forbes,Over 10.5,-121,Under 10.5,+100
3,Miami Heat @ San Antonio Spurs,2020-01-19,Patty Mills,Over 11.5,-110,Under 11.5,-110
4,Miami Heat @ San Antonio Spurs,2020-01-19,Jimmy Butler,Over 19.5,-110,Under 19.5,-110
5,Miami Heat @ San Antonio Spurs,2020-01-19,Bam Adebayo,Over 15.5,-110,Under 15.5,-110
6,Miami Heat @ San Antonio Spurs,2020-01-19,Kendrick Nunn,Over 15.5,-121,Under 15.5,+100
7,Miami Heat @ San Antonio Spurs,2020-01-19,Duncan Robinson,Over 12.5,+100,Under 12.5,-121
8,Indiana Pacers @ Denver Nuggets,2020-01-19,Nikola Jokic,Over 22.5,-110,Under 22.5,-110
9,Indiana Pacers @ Denver Nuggets,2020-01-19,Will Barton,Over 17.5,-110,Under 17.5,-110
10,Indiana Pacers @ Denver Nuggets,2020-01-19,Jerami Grant,Over 12.5,-110,Under 12.5,-110
11,Indiana Pacers @ Denver Nuggets,2020-01-19,Monte Morris,Over 12.5,-110,Under 12.5,-110
12,Indiana Pacers @ Denver Nuggets,2020-01-19,Malcolm Brogdon,Over 17.5,-110,Under 17.5,-110
13,Indiana Pacers @ Denver Nuggets,2020-01-19,Domantas Sabonis,Over 16.5,-110,Under 16.5,-110
14,Indiana Pacers @ Denver Nuggets,2020-01-19,TJ Warren,Over 17.5,-110,Under 17.5,-110
15,Indiana Pacers @ Denver Nuggets,2020-01-19,Myles Turner,Over 12.5,-125,Under 12.5,+103
