,date,team,site,o:team,line,total
0,20171017,Cavaliers,home,Celtics,-3.5,212.5
1,20171017,Celtics,away,Cavaliers,3.5,212.5
2,20171017,Warriors,home,Rockets,-9.0,228.5
3,20171017,Rockets,away,Warriors,9.0,228.5
4,20171018,Celtics,home,Bucks,-2.0,206.0
5,20171018,Bucks,away,Celtics,2.0,206.0
6,20171018,Grizzlies,home,Pelicans,-2.5,205.0
7,20171018,Pelicans,away,Grizzlies,2.5,205.0
8,20171018,Jazz,home,Nuggets,-2.5,205.5
9,20171018,Nuggets,away,Jazz,2.5,205.5
10,20171018,Kings,home,Rockets,7.0,217.5
11,20171018,Rockets,away,Kings,-7.0,217.5
12,20171018,Magic,home,Heat,3.5,205.5
13,20171018,Heat,away,Magic,-3.5,205.5
14,20171018,Mavericks,home,Hawks,-5.5,198.5
15,20171018,Hawks,away,Mavericks,5.5,198.5
16,20171018,Pacers,home,Nets,-3.5,217.0
17,20171018,Nets,away,Pacers,3.5,217.0
18,20171018,Pistons,home,Hornets,-3.0,202.5
19,20171018,Hornets,away,Pistons,3.0,202.5
20,20171018,Spurs,home,Timberwolves,-1.5,205.0
21,20171018,Timberwolves,away,Spurs,1.5,205.0
22,20171018,Suns,home,Trailblazers,2.5,218.5
23,20171018,Trailblazers,away,Suns,-2.5,218.5
24,20171018,Wizards,home,Seventysixers,-6.5,217.5
25,20171018,Seventysixers,away,Wizards,6.5,217.5
26,20171019,Lakers,home,Clippers,6.5,217.5
27,20171019,Clippers,away,Lakers,-6.5,217.5
28,20171019,Raptors,home,Bulls,-13.5,208.0
29,20171019,Bulls,away,Raptors,13.5,208.0
30,20171019,Thunder,home,Knicks,-12.5,213.5
31,20171019,Knicks,away,Thunder,12.5,213.5
32,20171020,Bucks,home,Cavaliers,1.5,209.5
33,20171020,Cavaliers,away,Bucks,-1.5,209.5
34,20171020,Hornets,home,Hawks,-5.5,203.5
35,20171020,Hawks,away,Hornets,5.5,203.5
36,20171020,Mavericks,home,Kings,-5.5,202.5
37,20171020,Kings,away,Mavericks,5.5,202.5
38,20171020,Nets,home,Magic,-2.0,226.0
39,20171020,Magic,away,Nets,2.0,226.0
40,20171020,Pacers,home,Trailblazers,6.0,220.5
